timestamp,preprocessing_time,detection_time,matching_time,pose_estimation_time,fps,detected_keypoints,raw_matches,good_matches,inliners,match_ratio,inliner_ratio,cpu_usage,memory_usage,cpu_temperature,tracking_ok
1.783179877164339304e+09,7.503511000322760083e-03,2.919661299893050455e-02,1.646950400026980788e-02,2.021188000071560964e-02,1.362741141810205647e+01,1.111000000000000000e+03,1.129000000000000000e+03,4.200000000000000000e+02,3.750000000000000000e+02,3.720106288751107160e-01,8.928571428571429047e-01,4.420000000000000284e+01,3.410000000000000142e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179877280448675e+09,9.105694000027142465e-03,3.008911899996746797e-02,2.007099299953551963e-02,2.736122900023474358e-02,1.154374035776145746e+01,1.131000000000000000e+03,1.111000000000000000e+03,4.620000000000000000e+02,3.800000000000000000e+02,4.158415841584158223e-01,8.225108225108225257e-01,4.000000000000000000e+01,3.400000000000000000e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179877398798943e+09,7.597177000207011588e-03,2.923450100024638232e-02,1.712562399916350842e-02,2.399640400108182803e-02,1.282812647792571425e+01,1.133000000000000000e+03,1.131000000000000000e+03,4.540000000000000000e+02,3.790000000000000000e+02,4.014146772767462346e-01,8.348017621145374934e-01,4.089999999999999858e+01,3.410000000000000142e+01,5.889999999999999858e+01,1.000000000000000000e+00
1.783179877510422468e+09,9.086342000955482945e-03,2.931051799896522425e-02,1.852514300117036328e-02,2.391077599895652384e-02,1.237121885911421160e+01,1.110000000000000000e+03,1.133000000000000000e+03,4.810000000000000000e+02,4.200000000000000000e+02,4.245366284201235740e-01,8.731808731808732293e-01,4.350000000000000000e+01,3.400000000000000000e+01,5.839999999999999858e+01,1.000000000000000000e+00
1.783179877625361919e+09,9.330116999990423210e-03,2.794762899975467008e-02,1.724199300042528193e-02,2.637377999963064212e-02,1.236192976105366093e+01,1.111000000000000000e+03,1.110000000000000000e+03,4.070000000000000000e+02,3.270000000000000000e+02,3.666666666666666408e-01,8.034398034398034794e-01,4.220000000000000284e+01,3.410000000000000142e+01,5.739999999999999858e+01,1.000000000000000000e+00
1.783179877732911587e+09,8.034022999709122814e-03,2.755465300106152426e-02,1.913639399936073460e-02,1.981290399999124929e-02,1.341598042359394860e+01,1.097000000000000000e+03,1.111000000000000000e+03,3.900000000000000000e+02,3.330000000000000000e+02,3.510351035103510542e-01,8.538461538461538103e-01,4.000000000000000000e+01,3.400000000000000000e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179877841970444e+09,7.876636000219150446e-03,2.759794899975531735e-02,1.938337200044770725e-02,1.930687400090391748e-02,1.348347979087446014e+01,1.137000000000000000e+03,1.097000000000000000e+03,4.050000000000000000e+02,3.600000000000000000e+02,3.691886964448495845e-01,8.888888888888888395e-01,4.320000000000000284e+01,3.400000000000000000e+01,5.889999999999999858e+01,1.000000000000000000e+00
1.783179877956285715e+09,9.705833999760216102e-03,2.813421900100365747e-02,1.738723199923697393e-02,2.489183699981367681e-02,1.248141486126514188e+01,1.104000000000000000e+03,1.137000000000000000e+03,4.430000000000000000e+02,3.770000000000000000e+02,3.896218117854001739e-01,8.510158013544018019e-01,4.220000000000000284e+01,3.410000000000000142e+01,5.889999999999999858e+01,1.000000000000000000e+00
1.783179878063347816e+09,6.727670001055230387e-03,2.982623400021111593e-02,1.680512899838504381e-02,2.198369000143429730e-02,1.327268195477338963e+01,1.121000000000000000e+03,1.104000000000000000e+03,4.050000000000000000e+02,3.390000000000000000e+02,3.668478260869565410e-01,8.370370370370370239e-01,4.000000000000000000e+01,3.410000000000000142e+01,5.839999999999999858e+01,1.000000000000000000e+00
1.783179878173271656e+09,8.782419999988633208e-03,2.769598499980929773e-02,1.815849999911733903e-02,2.210305800144851673e-02,1.303102009568677389e+01,1.104000000000000000e+03,1.121000000000000000e+03,4.650000000000000000e+02,4.320000000000000000e+02,4.148082069580731335e-01,9.290322580645161699e-01,4.050000000000000000e+01,3.410000000000000142e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179878282076597e+09,1.117120399976556655e-02,2.677862599921354558e-02,1.822744300079648383e-02,2.153912200083141215e-02,1.286729782039155978e+01,1.121000000000000000e+03,1.104000000000000000e+03,3.820000000000000000e+02,3.230000000000000000e+02,3.460144927536231707e-01,8.455497382198953193e-01,4.150000000000000000e+01,3.400000000000000000e+01,5.889999999999999858e+01,1.000000000000000000e+00
1.783179878396335363e+09,7.210571000541676767e-03,2.968410599896742497e-02,1.706505100082722493e-02,2.331609800057776738e-02,1.294065753484370340e+01,1.106000000000000000e+03,1.121000000000000000e+03,3.880000000000000000e+02,3.180000000000000000e+02,3.461195361284567507e-01,8.195876288659793563e-01,3.810000000000000142e+01,3.400000000000000000e+01,5.739999999999999858e+01,1.000000000000000000e+00
1.783179878505696535e+09,7.902265000666375272e-03,2.808757200000400189e-02,1.913846800016472116e-02,2.093461099866544828e-02,1.314701108759183334e+01,1.107000000000000000e+03,1.106000000000000000e+03,4.310000000000000000e+02,3.770000000000000000e+02,3.896925858951175159e-01,8.747099767981438845e-01,4.050000000000000000e+01,3.410000000000000142e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179878618329287e+09,9.745425999426515773e-03,2.716195500033791177e-02,1.732838099997024983e-02,2.233737000096880365e-02,1.305941096925241318e+01,1.068000000000000000e+03,1.107000000000000000e+03,3.650000000000000000e+02,3.030000000000000000e+02,3.297199638663053101e-01,8.301369863013698946e-01,4.320000000000000284e+01,3.400000000000000000e+01,5.889999999999999858e+01,1.000000000000000000e+00
1.783179878732359648e+09,8.163169000908965245e-03,2.671423799984040670e-02,1.769865399910486303e-02,2.506000100038363598e-02,1.288061210519585664e+01,1.103000000000000000e+03,1.068000000000000000e+03,3.950000000000000000e+02,3.180000000000000000e+02,3.698501872659176182e-01,8.050632911392404667e-01,3.950000000000000000e+01,3.400000000000000000e+01,5.789999999999999858e+01,1.000000000000000000e+00
1.783179878842049837e+09,7.868561999202938750e-03,2.784416700160363689e-02,1.902717399934772402e-02,2.153436200023861602e-02,1.311058192425516822e+01,1.101000000000000000e+03,1.103000000000000000e+03,3.860000000000000000e+02,3.190000000000000000e+02,3.499546690843154950e-01,8.264248704663212930e-01,3.900000000000000000e+01,3.410000000000000142e+01,5.939999999999999858e+01,1.000000000000000000e+00
1.783179878958549976e+09,8.180003000234137289e-03,2.906546599842840806e-02,1.720749400010390673e-02,2.639953800098737702e-02,1.236820120138330203e+01,1.105000000000000000e+03,1.101000000000000000e+03,4.200000000000000000e+02,3.280000000000000000e+02,3.814713896457765929e-01,7.809523809523809534e-01,4.350000000000000000e+01,3.400000000000000000e+01,5.989999999999999858e+01,1.000000000000000000e+00
1.783179879067870140e+09,8.470221000607125461e-03,3.010411899958853610e-02,1.619698899958166294e-02,2.346259600017219782e-02,1.278217857535136126e+01,1.107000000000000000e+03,1.105000000000000000e+03,4.530000000000000000e+02,3.970000000000000000e+02,4.099547511312217063e-01,8.763796909492274079e-01,4.220000000000000284e+01,3.400000000000000000e+01,5.889999999999999858e+01,1.000000000000000000e+00
1.783179879178603172e+09,7.756990000416408293e-03,2.930662899962044321e-02,1.859762400090403389e-02,2.151528799913648982e-02,1.295730693050970928e+01,1.125000000000000000e+03,1.107000000000000000e+03,4.390000000000000000e+02,3.830000000000000000e+02,3.965672990063233705e-01,8.724373576309795153e-01,4.150000000000000000e+01,3.400000000000000000e+01,5.839999999999999858e+01,1.000000000000000000e+00
